trip_distance,ride_time,fare_amount,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
2.21,11.4,10.0,19.0,132.0,238.0,1.0,
2.72,16.55,13.0,8.0,153.0,134.0,1.0,
2.06,8.966666,9.0,19.0,68.0,222.0,2.0,
0.7,9.25,7.0,12.0,200.0,136.0,1.0,
3.3,17.166666,14.0,15.0,115.0,72.0,1.0,
0.8,7.1,6.0,13.0,200.0,227.0,1.0,
1.73,9.316667,8.5,18.0,199.0,252.0,1.0,
4.4,26.166666,19.0,15.0,77.0,225.0,1.0,
20.25,28.85,52.0,1.0,107.0,225.0,1.0,
11.23,23.1,32.0,0.0,113.0,219.0,1.0,0.0
0.96,7.8333335,6.5,13.0,112.0,222.0,1.0,
1.9,4.7166667,7.0,1.0,88.0,155.0,2.0,
2.1,16.866667,12.0,17.0,191.0,151.0,2.0,
6.11,26.583334,22.0,22.0,68.0,171.0,1.0,
1.1,4.0333333,5.5,7.0,208.0,88.0,1.0,
1.52,12.15,9.5,9.0,132.0,235.0,1.0,
9.29,38.266666,32.5,22.0,40.0,47.0,1.0,
2.2,11.416667,10.0,19.0,88.0,226.0,1.0,
2.9,21.166666,21.2,11.0,82.0,123.0,1.0,
2.3,15.65,12.0,12.0,40.0,228.0,1.0,
2.5,19.2,14.0,12.0,133.0,225.0,1.0,
0.5,1.6833333,3.5,12.0,219.0,251.0,1.0,
1.17,16.566668,11.0,0.0,68.0,221.0,2.0,0.0
0.93,8.966666,7.0,15.0,10.0,85.0,1.0,
8.36,26.483334,26.5,22.0,117.0,202.0,1.0,
1.58,17.416666,12.0,16.0,119.0,2.0,1.0,
0.17,4.866667,4.5,13.0,141.0,222.0,1.0,
7.2,21.9,22.5,13.0,107.0,61.0,0.0,
1.1,5.7833333,6.0,17.0,117.0,156.0,1.0,
1.6,9.433333,8.5,20.0,135.0,226.0,1.0,
2.9,17.383333,13.0,15.0,37.0,235.0,1.0,
1.67,8.733334,8.5,19.0,208.0,177.0,2.0,
0.7,8.0,6.5,12.0,132.0,156.0,1.0,
3.7,32.6,19.5,13.0,37.0,200.0,2.0,
2.3,17.216667,10.0,21.0,129.0,235.0,1.0,
1.54,8.683333,8.5,8.0,197.0,154.0,1.0,
5.94,20.483334,20.0,20.0,107.0,194.0,2.0,
1.4,7.133333,7.0,6.0,133.0,177.0,1.0,
1.7,12.733334,9.5,15.0,153.0,156.0,1.0,
1.1,5.016667,6.0,20.0,117.0,136.0,1.0,
1.1,7.9666667,7.0,17.0,153.0,46.0,1.0,
4.79,24.35,35.0,21.0,191.0,254.0,1.0,
1.77,12.35,9.5,16.0,197.0,227.0,1.0,
1.0,7.483333,6.5,13.0,75.0,43.0,1.0,
4.15,28.45,19.5,16.0,192.0,156.0,1.0,
0.8,7.0,6.5,19.0,118.0,136.0,1.0,
4.1,46.266666,27.0,16.0,208.0,244.0,1.0,
6.86,33.533333,25.0,14.0,37.0,232.0,1.0,
0.86,3.7833333,5.0,21.0,221.0,253.0,1.0,
9.0,49.883335,35.5,15.0,113.0,112.0,1.0,
4.16,29.15,21.0,22.0,68.0,47.0,1.0,
2.36,15.0,8.0,16.0,191.0,223.0,3.0,
1.82,6.55,7.5,22.0,198.0,228.0,1.0,
1.25,11.916667,9.0,19.0,84.0,222.0,1.0,
2.3,16.416666,12.0,20.0,135.0,133.0,2.0,
0.92,7.65,6.5,19.0,135.0,219.0,3.0,
1.23,4.1,5.5,22.0,40.0,235.0,1.0,
1.65,10.25,8.5,23.0,77.0,163.0,1.0,1.0
1.21,22.133333,13.5,17.0,133.0,219.0,2.0,
2.14,15.133333,11.5,17.0,88.0,154.0,1.0,
5.31,21.95,19.0,11.0,113.0,51.0,2.0,
9.98,46.55,36.0,14.0,113.0,228.0,2.0,
3.02,20.883333,15.0,18.0,117.0,151.0,1.0,
4.82,25.15,19.0,8.0,199.0,130.0,1.0,
0.41,3.7833333,4.5,18.0,116.0,226.0,1.0,
2.89,18.466667,13.5,21.0,208.0,219.0,2.0,
1.35,6.0666666,6.5,21.0,200.0,144.0,1.0,
0.0,2.2666667,4.0,14.0,159.0,184.0,1.0,
0.61,7.15,6.0,11.0,133.0,155.0,1.0,
1.15,18.8,12.0,18.0,133.0,48.0,1.0,
1.3,9.95,6.5,18.0,117.0,48.0,1.0,
1.72,16.016666,11.5,8.0,132.0,101.0,1.0,
22.8,72.21667,52.0,16.0,107.0,46.0,3.0,
1.9,7.8166666,8.0,8.0,42.0,177.0,1.0,
2.03,11.85,9.5,18.0,198.0,227.0,1.0,
1.92,8.883333,8.5,8.0,118.0,235.0,2.0,
0.25,1.4333333,3.0,14.0,174.0,200.0,1.0,
4.4,23.783333,17.5,14.0,92.0,225.0,1.0,
0.91,5.95,6.0,22.0,159.0,184.0,1.0,
1.8,22.016666,13.5,12.0,118.0,154.0,1.0,
0.82,23.083334,7.0,18.0,191.0,154.0,1.0,
16.08,44.083332,52.0,8.0,116.0,125.0,1.0,
19.5,42.116665,52.0,22.0,107.0,144.0,1.0,
1.06,3.2333333,5.0,16.0,116.0,252.0,1.0,
2.42,17.2,12.5,18.0,221.0,238.0,1.0,
1.66,13.1,10.0,9.0,64.0,226.0,1.0,
