trip_distance,fare_amount,ride_time,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
17.7,52.0,37.7,0,107,177,2,0
0.68,5.5,5.016666666666667,0,123,43,1,0
0.93,5.5,5.133333333333334,0,92,101,1,0
1.5,7.0,8.716666666666667,0,133,133,1,1
3.74,13.0,9.033333333333333,0,107,207,1,1
14.54,40.5,25.5,0,107,249,1,1
0.8,5.0,3.716666666666667,0,195,163,1,1
4.9,17.5,17.983333333333334,0,141,249,1,0
18.5,50.0,29.0,0,107,1,1,1
2.99,12.0,12.166666666666666,0,123,23,1,0
4.4,14.5,11.633333333333333,0,113,54,2,1
0.9,5.5,4.883333333333334,0,37,46,1,0
2.36,9.5,9.566666666666666,0,191,228,1,0
2.87,12.0,13.216666666666667,0,200,177,1,0
3.8,14.5,15.666666666666666,0,123,154,2,0
2.1,11.5,15.0,0,129,220,1,0
4.3,60.0,29.75,0,92,254,2,0
4.77,16.0,16.233333333333334,0,174,225,1,0
0.25,3.0,1.6166666666666667,0,116,134,1,1
2.34,9.0,8.75,0,116,101,1,0
8.4,26.0,22.083333333333332,0,60,218,2,0
1.36,7.0,7.566666666666666,0,218,137,1,1
8.59,26.0,20.7,0,84,233,1,1
1.07,5.5,5.4,0,208,88,1,0
1.01,6.0,5.233333333333333,0,92,223,1,0
2.03,9.5,10.333333333333334,0,208,97,1,0
2.6,11.0,11.45,0,133,137,1,0
1.1,5.5,5.1,0,119,238,2,0
1.7,7.5,7.083333333333333,0,208,66,3,0
1.67,8.5,9.7,0,119,77,2,0
1.1,6.5,7.2,0,134,134,1,1
1.7,8.0,7.8,0,132,136,2,0
2.9,12.0,13.616666666666667,0,40,101,2,0
1.0,6.0,5.533333333333333,0,198,252,4,0
5.2,19.0,21.033333333333335,0,58,39,1,0
0.9,5.0,3.316666666666667,0,190,134,1,0
5.2,16.5,12.983333333333333,0,190,250,1,0
2.7,12.0,13.983333333333333,0,135,226,4,1
19.28,53.0,35.06666666666667,0,107,95,2,0
18.57,50.5,27.916666666666668,0,21,125,3,1
1.5,9.0,10.616666666666667,0,205,219,1,0
1.9,8.5,9.35,0,191,223,2,1
4.4,16.0,17.833333333333332,0,40,5,1,1
2.3,9.0,8.433333333333334,23,200,251,1,0
0.63,-4.5,3.433333333333333,0,220,251,1,3
0.63,4.5,3.433333333333333,0,220,251,1,1
1.05,5.0,3.183333333333333,0,220,134,1,0
2.1,8.5,7.516666666666667,0,198,177,1,0
1.14,5.0,3.6333333333333333,0,153,238,1,1
1.4,7.0,7.6,23,92,66,2,0
5.11,20.0,26.966666666666665,0,208,34,1,0
2.31,9.0,8.45,0,208,250,1,0
2.53,11.0,12.55,0,172,106,1,0
0.79,4.5,3.6,0,191,155,1,0
2.6,10.5,10.383333333333333,0,92,86,3,1
5.5,18.5,18.733333333333334,0,75,46,1,0
2.9,11.0,11.7,0,141,118,3,0
9.9,27.5,13.983333333333333,0,60,221,1,0
2.5,10.0,9.666666666666666,0,58,155,1,0
0.89,5.5,5.166666666666667,0,208,118,1,0
6.05,23.0,25.833333333333332,0,77,47,1,1
5.44,17.5,17.616666666666667,0,58,73,1,0
7.71,24.5,20.866666666666667,0,194,67,1,1
3.67,13.5,14.35,0,220,46,3,0
9.95,30.0,26.033333333333335,0,40,246,1,0
3.4,14.0,15.783333333333333,0,198,106,1,0
3.25,-11.5,12.033333333333333,0,191,137,3,3
3.25,11.5,12.033333333333333,0,191,137,3,1
3.73,15.5,19.7,0,123,48,2,0
1.75,7.5,8.55,0,42,222,2,0
0.0,20.2,18.466666666666665,0,75,59,1,0
2.0,8.0,9.15,0,134,223,1,0
2.5,9.0,11.083333333333334,0,68,222,1,0
2.01,8.5,9.2,0,123,238,1,0
0.89,5.0,3.3666666666666667,0,58,177,1,0
1.57,7.5,7.466666666666667,0,153,238,1,0
3.15,12.5,14.65,0,208,218,1,0
3.2,13.0,14.866666666666667,0,68,66,2,0
3.1,12.5,14.3,0,191,252,1,0
1.8,8.0,7.716666666666667,0,91,219,2,1
9.2,29.5,29.7,0,191,214,1,0
2.9,12.5,14.15,0,119,66,1,0
0.8,6.0,5.7,0,153,157,1,0
1.4,9.0,11.133333333333333,0,197,134,1,0
1.85,8.0,7.4,0,198,163,1,0
5.4,19.5,21.85,0,192,179,1,1
8.0,27.0,27.566666666666666,0,200,220,1,0
1.12,5.5,4.9,0,40,235,2,0
6.05,21.0,23.383333333333333,0,205,173,3,0
4.5,17.0,20.6,0,197,66,1,1
1.8,8.5,8.716666666666667,0,117,97,1,0
1.4,6.5,5.233333333333333,0,191,136,1,0
0.5,4.5,4.55,0,40,219,4,1
3.4,12.5,10.483333333333333,0,113,80,1,0
4.76,15.5,11.833333333333334,0,123,153,1,0
0.78,5.0,4.016666666666667,0,200,228,1,0
6.09,21.0,22.966666666666665,0,117,122,1,0
1.2,7.0,6.55,0,125,228,1,0
6.7,25.5,31.25,0,208,173,1,0
0.7,5.0,4.65,0,119,77,1,0
0.88,5.0,2.9833333333333334,0,198,225,1,1
1.69,7.5,7.25,0,198,155,1,0
0.53,4.0,3.0166666666666666,0,198,226,1,1
1.66,8.5,10.05,0,198,154,1,1
3.3,11.0,6.533333333333333,0,107,8,1,2
1.74,8.0,8.75,0,123,238,5,0
1.83,7.0,4.65,0,112,133,5,0
1.26,7.0,7.166666666666667,0,84,151,2,0
2.26,11.0,13.833333333333334,0,132,228,1,1
2.5,11.0,12.516666666666667,0,187,80,1,1
17.1,48.0,33.35,0,107,19,3,1
18.24,52.0,31.95,23,107,40,1,0
0.84,4.5,2.4,0,200,136,2,0
1.9,8.5,9.95,0,153,77,2,0
1.6,8.0,7.916666666666667,0,68,163,2,0
1.4,7.0,8.75,0,174,106,1,0
3.0,11.5,12.283333333333333,0,91,135,1,0
5.2,17.0,17.166666666666668,0,208,251,1,0
5.1,18.0,18.333333333333332,0,92,252,1,1
1.3,8.5,10.416666666666666,0,190,46,1,0
0.72,5.0,4.5,0,133,218,1,0
5.81,22.0,29.116666666666667,0,153,5,1,1
1.31,7.5,7.883333333333334,0,200,144,1,0
1.98,8.5,8.316666666666666,0,40,151,5,1
2.76,11.0,12.166666666666666,0,92,219,5,0
3.3,11.0,6.883333333333334,0,107,208,2,1
4.73,16.0,13.016666666666667,0,221,51,1,1
1.2,7.0,12.433333333333334,0,20,73,1,1
1.73,8.0,8.366666666666667,0,153,156,3,0
1.95,8.5,9.05,0,134,177,2,0
3.72,17.0,20.933333333333334,0,153,227,2,0
1.21,6.0,6.0,1,118,156,3,0
10.4,32.0,26.433333333333334,0,132,120,1,0
10.5,29.5,20.35,0,60,218,2,0
0.98,6.0,5.733333333333333,0,88,223,1,0
1.16,5.5,4.466666666666667,0,208,88,1,0
0.0,20.0,0.8333333333333334,0,222,253,1,0
8.9,25.0,14.95,0,113,99,1,1
4.18,16.5,19.616666666666667,0,153,39,3,1
3.38,11.0,9.4,0,68,134,1,1
2.8,10.5,9.083333333333334,0,174,31,1,1
2.75,10.5,10.766666666666667,0,40,134,1,0
1.46,7.0,6.883333333333334,0,153,155,1,1
7.89,23.5,16.983333333333334,0,113,251,1,0
7.19,23.5,19.35,0,113,206,1,0
1.9,8.5,7.633333333333334,0,68,157,1,0
4.47,15.5,14.816666666666666,0,135,198,1,1
9.37,31.0,29.616666666666667,23,135,232,1,0
13.9,40.5,31.916666666666668,0,107,59,1,0
2.52,11.5,12.883333333333333,0,200,225,2,0
0.91,5.5,5.066666666666666,0,68,141,1,0
2.97,12.0,13.566666666666666,0,91,219,4,1
2.0,10.5,12.45,0,191,133,1,0
2.6,11.5,11.75,0,123,23,1,0
4.43,14.5,9.683333333333334,0,107,125,1,0
4.4,15.0,14.783333333333333,0,195,38,1,0
3.8,14.0,14.883333333333333,0,100,136,1,0
3.58,12.5,12.85,0,132,215,1,0
2.3,9.0,6.483333333333333,0,123,78,1,1
2.3,9.0,7.8,0,141,252,1,0
18.03,52.0,27.816666666666666,0,107,66,1,0
9.88,30.0,27.016666666666666,0,107,189,2,0
2.24,8.5,6.85,0,190,252,1,1
10.58,32.5,26.366666666666667,0,113,154,2,0
2.77,11.5,12.833333333333334,0,133,139,4,1
18.62,52.0,32.28333333333333,0,107,135,1,0
8.8,27.5,22.95,0,113,101,1,0
9.91,28.0,16.316666666666666,0,113,95,2,0
22.51,80.5,44.11666666666667,0,113,0,1,1
10.47,31.0,22.983333333333334,0,113,156,1,0
7.69,24.0,20.816666666666666,0,60,159,1,1
4.43,17.5,20.15,0,92,157,1,0
0.97,5.5,4.983333333333333,0,192,137,1,0
0.96,5.5,4.9,0,68,141,1,0
1.21,5.5,4.633333333333334,0,153,46,2,0
1.56,7.5,7.466666666666667,0,40,226,1,0
1.36,6.5,6.25,0,88,151,3,1
3.07,12.0,12.966666666666667,0,77,155,2,0
6.82,24.5,24.25,0,141,161,2,0
1.41,6.5,5.716666666666667,0,40,135,2,0
5.28,18.5,19.516666666666666,0,40,250,1,0
4.82,60.0,11.75,0,208,254,1,0
10.7,30.5,20.4,0,113,232,1,1
1.67,6.5,3.933333333333333,0,115,73,1,0
2.13,9.0,9.016666666666667,0,92,46,1,0
1.89,8.0,8.133333333333333,23,190,225,1,0
1.6,8.0,7.5,0,174,77,1,0
1.74,9.0,9.783333333333333,0,115,156,1,1
2.32,9.5,8.7,0,221,235,1,1
1.55,6.5,5.816666666666666,0,58,235,1,0
1.53,7.0,5.85,0,208,101,1,0
2.84,11.0,11.416666666666666,0,195,41,1,0
3.4,11.5,10.283333333333333,0,191,73,1,0
12.7,38.0,24.633333333333333,0,113,74,1,2
0.91,6.0,5.883333333333334,0,40,46,1,0
6.63,20.0,14.416666666666666,0,40,233,1,0
2.4,10.0,11.066666666666666,0,141,220,1,0
1.7,8.0,8.833333333333334,0,92,198,1,0
1.7,8.5,8.866666666666667,0,92,88,1,0
2.79,10.0,8.283333333333333,0,88,134,1,0
1.95,8.5,8.766666666666667,0,191,223,1,0
3.94,13.5,13.3,23,132,73,1,0
4.06,13.0,9.633333333333333,0,113,5,1,1
8.9,25.5,17.5,0,113,252,3,1
2.5,10.0,10.516666666666667,0,92,222,1,0
3.37,13.0,15.05,0,205,141,1,1
1.5,7.5,8.3,0,35,227,1,0
5.0,16.5,18.166666666666668,0,116,212,1,0
10.62,30.0,23.783333333333335,0,113,135,2,0
0.72,4.5,3.8666666666666667,0,129,88,2,0
1.9,9.0,8.983333333333333,0,200,252,1,0
8.32,27.0,30.2,0,191,179,1,0
1.34,6.5,5.65,0,153,101,1,0
2.44,10.0,10.566666666666666,0,208,85,1,0
3.55,12.0,13.133333333333333,0,117,222,1,0
1.47,6.0,4.9,0,221,154,1,0
0.86,5.0,3.85,0,117,136,1,0
11.37,32.0,21.283333333333335,0,191,166,1,0
4.06,14.5,14.816666666666666,0,200,238,2,0
1.64,7.0,5.633333333333334,0,208,177,1,0
1.91,8.0,7.066666666666666,0,153,136,1,0
5.27,17.0,11.966666666666667,0,40,109,1,1
1.9,11.0,15.45,0,129,221,1,0
5.2,18.0,17.85,0,208,144,1,0
4.56,17.0,20.016666666666666,0,58,105,1,0
1.06,5.5,5.3,0,190,134,1,0
1.78,7.0,5.383333333333334,0,133,252,1,0
1.33,6.5,6.433333333333334,0,194,213,1,0
1.96,9.5,10.866666666666667,0,191,228,1,0
1.65,7.0,6.483333333333333,0,200,134,1,0
5.75,18.0,14.0,0,40,39,1,1
5.39,17.0,11.833333333333334,0,107,193,1,0
0.4,3.5,1.8833333333333333,0,117,228,1,0
13.3,36.5,18.116666666666667,0,107,14,1,0
8.5,26.0,18.716666666666665,0,119,54,1,1
9.54,29.0,23.35,0,221,137,1,0
6.7,22.5,21.316666666666666,0,113,145,1,0
10.1,29.5,23.316666666666666,0,113,228,2,0
1.96,7.0,4.65,0,68,155,1,0
1.58,7.5,7.7,0,191,223,1,0
1.26,6.0,4.883333333333334,0,132,101,1,0
2.66,11.0,11.85,0,92,219,1,1
10.5,31.5,26.566666666666666,0,113,228,1,0
4.53,17.5,20.716666666666665,0,208,136,1,0
1.5,7.5,6.733333333333333,0,118,135,1,0
2.76,11.5,12.766666666666667,0,191,252,1,0
3.96,14.0,13.483333333333333,0,220,177,1,0
10.35,30.0,21.483333333333334,0,60,156,2,0
1.01,5.5,5.466666666666667,0,208,77,2,0
1.74,8.5,9.766666666666667,0,91,157,1,0
1.36,7.5,7.616666666666666,0,135,154,1,0
1.53,8.0,8.0,0,132,136,1,0
2.86,10.0,9.05,0,40,22,2,0
2.87,10.5,10.45,0,68,218,2,0
3.48,12.0,11.166666666666666,0,194,220,2,0
2.42,9.0,7.666666666666667,0,208,154,2,0
0.59,4.5,3.3833333333333333,0,133,218,1,0
7.96,30.5,37.416666666666664,0,134,173,2,1
2.77,11.5,13.933333333333334,0,191,133,2,0
0.95,4.5,2.7,0,220,134,2,0
2.7,9.5,6.983333333333333,0,107,8,2,0
3.4,13.5,14.816666666666666,0,192,97,1,1
3.0,12.5,14.233333333333333,0,191,251,1,0
1.9,7.0,4.866666666666666,0,220,218,0,1
1.9,8.5,9.216666666666667,0,75,221,1,0
7.26,23.5,24.8,0,88,109,1,0
2.32,10.0,10.9,0,141,2,6,0
1.31,6.5,5.833333333333333,0,92,101,6,0
1.74,8.0,7.283333333333333,0,141,218,6,0
2.37,10.0,9.95,0,190,227,1,0
1.06,6.0,5.95,0,117,46,1,0
2.09,8.0,6.333333333333333,0,192,250,1,0
1.88,8.5,8.283333333333333,0,218,118,1,0
15.8,43.5,31.816666666666666,0,113,220,1,1
4.37,14.0,13.35,0,218,219,1,1
3.25,13.0,11.9,0,40,144,1,0
4.74,16.5,20.116666666666667,0,153,184,1,0
1.0,5.5,4.183333333333334,0,133,226,1,0
4.4,16.0,18.416666666666668,0,88,251,1,0
6.99,23.5,27.433333333333334,0,153,60,1,1
2.91,13.5,17.45,0,198,46,1,0
3.67,16.5,20.883333333333333,0,40,101,1,0
2.7,10.5,9.8,0,192,88,2,0
4.1,15.5,15.133333333333333,0,129,227,1,0
1.4,7.0,5.85,0,132,88,1,0
2.3,9.5,10.283333333333333,0,220,135,3,0
3.68,12.5,11.616666666666667,0,135,251,1,0
0.0,7.2,0.13333333333333333,0,40,46,1,0
